Number of exposures	Defocus list	ClusteringMode	ClusteringRadius	DoseFractionsOutputFormat	Name	PhasePlateEnabled	HoleSize	HoleSpacing	SpecimenCarrierType	StartDateTime	Autofocus recurrence	Autofocus distance	Drift recurrence	Drift threshold	DelayAfterImageShift	DelayAfterStageShift	Detector	Binning	C2Aperture	ProbeMode	SpotSize	BeamSize	EnergySelectionSlitWidth	ObjAperture	GunLens	Voltage	ExtractorVoltage	MicroscopeID	PixelSpacing	EPUversion	Magnification	ExposureTime	Mode	NumSubFrames	PhasePlateUsed	Dose	DoseOnCamera	DosePerFrame
2	[-1.5, -1.3, -1.1, -0.9, -0.7, -0.5]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.25	2.62	Quantifoil R1.2/1.3	2023-06-02T11:39:17.141065Z	AfterDistance	8	UNKNOWN	UNKNOWN	0.5	3	EF-CCD	2	50	NanoProbe	5	0.81	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	0.87	Super-resolution	40	false	30.09	18.23	0.7522
2	[-2.5, -2.2, -2.0, -1.8, -1.5, -1.2, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.25	2.6	Quantifoil R1.2/1.3	2023-06-04T11:20:28.2990936Z	AfterCentering	8	UNKNOWN	UNKNOWN	0.5	3	EF-CCD	2	50	NanoProbe	5	0.81	20	None	4	300	4498	3299	0.726	2.12.1.2782	105000	1.1	Super-resolution	40	false	41.03	19.66	1.0258
4	[-2.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.4	2.61	Quantifoil R1.2/1.3	2023-06-05T11:18:11.8050839Z	AfterCentering	8	UNKNOWN	UNKNOWN	0.5	3	EF-CCD	2	50	NanoProbe	6	0.66	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	1	Counting	40	false	7.12	0.94	0.1781
3	[-2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.33	2.56	Quantifoil R1.2/1.3	2023-06-06T14:43:20.6599075Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	0.66	20	None	4	300	4498	3299	0.726	2.12.1.2782	105000	1.2	Super-resolution	40	false	35.11	15.42	0.8778
3	[-2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.33	2.56	Quantifoil R1.2/1.3	2023-06-06T16:13:01.3916678Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	0.66	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	1.2	Super-resolution	40	false	23.28	10.22	0.582
1	[-2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	0.76	1.67	Quantifoil R1.2/1.3	2023-06-07T13:40:51.4592628Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	0.66	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	1.5	Super-resolution	40	false	36.71	12.9	0.9177
3	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.5	Quantifoil R1.2/1.3	2023-06-09T11:16:34.4317038Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	2.5	EF-CCD	2	50	NanoProbe	5	1.05	20	100 Au	4	300	4498	3299	0.928	2.12.1.2782	81000	1.1	Super-resolution	40	false	30.87	24.17	0.7719
3	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.5	Quantifoil R1.2/1.3	2023-06-10T11:30:37.6777321Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	2.5	EF-CCD	2	50	NanoProbe	5	1.05	20	100 Au	4	300	4498	3299	0.928	2.12.1.2782	81000	1.1	Super-resolution	40	false	26.07	20.41	0.6517
3	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.5	Quantifoil R1.2/1.3	2023-06-11T09:23:15.8994447Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	2.5	EF-CCD	2	50	NanoProbe	5	1.05	20	100 Au	4	300	4498	3299	0.928	2.12.1.2782	81000	1.1	Super-resolution	40	false	30.68	24.02	0.767
2	[-2.9, -2.7, -2.5, -2.3, -2.1, -1.9]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.28	2.54	Quantifoil R1.2/1.3	2023-06-13T20:49:26.9898942Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	5	0.83	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	0.87	Super-resolution	40	false	20.17	12.22	0.5042
5	[-3.0, -2.4, -2.0, -1.6, -1.2, -0.8]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.43	2.54	Quantifoil R1.2/1.3	2023-06-14T16:35:32.9983571Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	0.66	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	1.2	Super-resolution	40	false	12.51	5.49	0.3127
1	[-2.0, -1.8, -1.6]	ClusteringWithImageBeamShift	6	Gain normalized	confidential	false	0.84	1.62	Quantifoil R1/4	2023-06-15T09:56:01.375056Z	AfterCentering	20	OncePerGridSquare	5E-11	3	25	BM-Falcon	2	50	NanoProbe	9	1.2	UNKNOWN	None	4	300	4498	3299	1.067	2.12.1.2782	75000	41.17	Counting	80	false	26.02	0.18	0.3253
1	[-2.0, -1.8, -1.6]	ClusteringWithImageBeamShift	6	Gain normalized	confidential	false	0.79	1.63	Custom	2023-06-15T21:00:11.0973297Z	AfterCentering	20	OncePerGridSquare	5E-11	3	25	BM-Falcon	2	50	NanoProbe	9	1.2	UNKNOWN	None	4	300	4498	3299	1.067	2.12.1.2782	75000	41.17	Counting	80	false	26.15	0.18	0.3269
4	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.5	Quantifoil R1.2/1.3	2023-06-20T15:12:26.1179078Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	2.5	EF-CCD	2	50	NanoProbe	5	1.05	20	100 Au	4	300	4498	3299	0.928	2.12.1.2782	81000	1.1	Super-resolution	40	false	24.28	19.01	0.6069
3	[-2.8, -2.6, -2.4, -2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0, 3.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	2.59	4.13	Quantifoil R2/2	2023-06-21T21:31:06.1102144Z	AfterCentering	0	UNKNOWN	UNKNOWN	0.5	5	EF-CCD	2	50	NanoProbe	5	1.2	20	100 Au	4	300	4498	3299	1.166	2.12.1.2782	64000	1.7	Super-resolution	40	false	20.79	16.63	0.5197
4	[-3.0, -2.6, -2.2, -2.0, -1.8]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.25	2.57	Quantifoil R1.2/1.3	2023-06-29T22:52:44.0486129Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	0.66	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	1.21	Super-resolution	40	false	29	12.63	0.725
7	[-3.0, -2.6, -2.2, -2.0, -1.8]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	2.18	4.16	Quantifoil R2/2	2023-07-02T11:00:53.4100961Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	0.8	20	100 Au	4	300	4498	3299	0.928	2.12.1.2782	81000	1.7	Super-resolution	40	false	34.51	17.48	0.8628
2	[-2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.3	2.61	Quantifoil R1.2/1.3	2023-07-04T14:13:04.8722526Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	5	0.9	20	100 Au	4	300	4498	3299	0.726	2.12.1.2782	105000	1.04	Super-resolution	40	false	37.43	18.97	0.9357
2	[-2.4, -2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0, -0.8]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.19	2.56	Quantifoil R1.2/1.3	2023-07-05T10:31:00.5129402Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	6	1.05	20	100 Au	4	300	4498	3299	1.166	2.12.1.2782	64000	3.74	Super-resolution	56	false	40.37	14.67	0.7209
4	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.07	2.54	Quantifoil R1.2/1.3	2023-07-05T14:53:34.6290241Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	2.5	EF-CCD	2	50	NanoProbe	5	1.05	20	100 Au	4	300	4498	3299	0.928	2.12.1.2782	81000	1.1	Super-resolution	40	false	10.67	8.35	0.2667
